index,date,title,publication,unique_file_name
1,2024-07-18,AI For All Phases of Disaster Management,    Targeted News Service           Targeted News Service,1_AI_For_All_Phases_of_Disaster_Management
2,2024-07-19,AI FOR ALL PHASES OF DISASTER MANAGEMENT,    States News Service States News Service,2_AI_FOR_ALL_PHASES_OF_DISASTER_MANAGEMENT
3,2024-04-08,"NATIONAL GUARD EMPLOYS AI TO BATTLE WILDFIRES, IMPROVE DISASTER RESPONSE",    States News Service States News Service,"3_NATIONAL_GUARD_EMPLOYS_AI_TO_BATTLE_WILDFIRES,_IMPROVE_DISASTER_RESPONSE"
4,NA,INTERNATIONAL PATENT: REPUBLIC OF KOREA(NATIONAL DISASTER MANAGEMENT,NA,4_INTERNATIONAL_PATENT:_REPUBLIC_OF_KOREA(NATIONAL_DISASTER_MANAGEMENT
5,NA,OPERATION HOPE BECOMES THE FIRST FINANCIAL LITERACY NONPROFIT TO EMBED,NA,5_OPERATION_HOPE_BECOMES_THE_FIRST_FINANCIAL_LITERACY_NONPROFIT_TO_EMBED
6,NA,NSF and philanthropic partners invest more than $18M to prioritize ethical and societal,NA,6_NSF_and_philanthropic_partners_invest_more_than_$18M_to_prioritize_ethical_and_societal
7,2024-08-16,USPTO ISSUES TRADEMARK:,     US Fed News,7_USPTO_ISSUES_TRADEMARK:
8,2024-08-16,USPTO ISSUES TRADEMARK:,     US Fed News,8_USPTO_ISSUES_TRADEMARK:
9,NA,NSF AND PHILANTHROPIC PARTNERS INVEST MORE THAN $18M TO PRIORITIZE,NA,9_NSF_AND_PHILANTHROPIC_PARTNERS_INVEST_MORE_THAN_$18M_TO_PRIORITIZE
10,NA,CEC Research Optimizes Autonomous Drone Swarms With AI for Potential Disaster,NA,10_CEC_Research_Optimizes_Autonomous_Drone_Swarms_With_AI_for_Potential_Disaster
11,2024-05-08,CU BOULDER PIONEERS CULTURALLY SENSITIVE AI SOLUTIONS FOR DISASTERS,     States News Service States News Service,11_CU_BOULDER_PIONEERS_CULTURALLY_SENSITIVE_AI_SOLUTIONS_FOR_DISASTERS
12,NA,ERNST EXPOSES SBA'S LACK OF IT SECURITY AS THE AGENCY PURSUES AI,NA,12_ERNST_EXPOSES_SBA'S_LACK_OF_IT_SECURITY_AS_THE_AGENCY_PURSUES_AI
13,2024-05-29,Ernst Exposes SBA's Lack of IT Security as the Agency Pursues AI Technology,     Targeted News Service           Targeted News Service,13_Ernst_Exposes_SBA's_Lack_of_IT_Security_as_the_Agency_Pursues_AI_Technology
14,NA,"CHANGING THE MAP: NEW AI TECHNOLOGY, GEOSPATIAL MAPPING CERTIFICATES",NA,"14_CHANGING_THE_MAP:_NEW_AI_TECHNOLOGY,_GEOSPATIAL_MAPPING_CERTIFICATES"
15,NA,DHS Launches First-of-its-Kind Initiative to Hire 50 Artificial Intelligence Experts in,NA,15_DHS_Launches_First-of-its-Kind_Initiative_to_Hire_50_Artificial_Intelligence_Experts_in
16,NA,Augmented Intelligence for Disaster Response: Beeline Kazakhstan Mobilises AI to,NA,16_Augmented_Intelligence_for_Disaster_Response:_Beeline_Kazakhstan_Mobilises_AI_to
17,NA,House Science Committee Passes Bills to Advance Research and Technology,NA,17_House_Science_Committee_Passes_Bills_to_Advance_Research_and_Technology
18,NA,House Science Committee Passes Bills to Advance Research and Technology,NA,18_House_Science_Committee_Passes_Bills_to_Advance_Research_and_Technology
19,NA,DHS LAUNCHES FIRST-OF-ITS-KIND INITIATIVE TO HIRE 50 ARTIFICIAL INTELLIGENCE,NA,19_DHS_LAUNCHES_FIRST-OF-ITS-KIND_INITIATIVE_TO_HIRE_50_ARTIFICIAL_INTELLIGENCE
20,NA,DHS LAUNCHES FIRST-OF-ITS-KIND INITIATIVE TO HIRE 50 ARTIFICIAL INTELLIGENCE,NA,20_DHS_LAUNCHES_FIRST-OF-ITS-KIND_INITIATIVE_TO_HIRE_50_ARTIFICIAL_INTELLIGENCE
21,NA,"UAE 's First SAR Satellite Enters Space as Bayanat AI, Al Yah Satellite Boost Earth",NA,"21_UAE_'s_First_SAR_Satellite_Enters_Space_as_Bayanat_AI,_Al_Yah_Satellite_Boost_Earth"
