trimmed_line,is_title,title,index,abstract,article_type,authors,document_type,issue,place_ofpublication,date,pubtitle,year,volume
2. WHEN CRIME GOES VIRAL,TRUE,WHEN CRIME GOES VIRAL,1,NA,Newspapers,"Hilles, Chloe",Feature,2,"Chicago, Ill.","Mar 17, 2022",Windy City Times,2022,37
3. Chicago Foundation for Women virtually holds 2020 Impact Awards,TRUE,Chicago Foundation for Women virtually holds 2020 Impact Awards,2,NA,Newspapers,"Rhodes, Adam",Feature,3,"Chicago, Ill.","Jun 10, 2021",Windy City Times,2021,36
4. Table of Contents,TRUE,Table of Contents,3,NA,Newspapers,"Reilly, Emily",News,23,"Chicago, Ill.","Aug 5, 2020",Windy City Times,2020,35
5. Credits,TRUE,Credits,4,NA,Newspapers,Anonymous,Tbl Of Contents,19,"Chicago, Ill.","Jun 10, 2020",Windy City Times,2020,35
"6. Census 2020 is complicated for LGBTQ people, but it counts",TRUE,"Census 2020 is complicated for LGBTQ people, but it counts",5,NA,Newspapers,Anonymous,Credits,17,"Chicago, Ill.","May 13, 2020",Windy City Times,2020,35
"7. Gay sign-language interpreter on press conferences, LGBTQs",TRUE,"Gay sign-language interpreter on press conferences, LGBTQs",6,NA,Newspapers,"Magpantay, Glenn P",Commentary,17,"Chicago, Ill.","May 13, 2020",Windy City Times,2020,35
8. Patin at Hyde Park through Feb. 28,TRUE,Patin at Hyde Park through Feb. 28,7,NA,Newspapers,"Nunn, Jerry",Interview,14,"Chicago, Ill.","Apr 1, 2020",Windy City Times,2020,35
9. Guide to the LGBTQs,TRUE,Guide to the LGBTQs,8,NA,Newspapers,Anonymous,Feature,11,"Chicago, Ill.","Feb 19, 2020",Windy City Times,2020,35
10. Patin at Hyde Park through Feb. 28,TRUE,Patin at Hyde Park through Feb. 28,9,NA,Newspapers,Anonymous,General Information,11,"Chicago, Ill.","Feb 19, 2020",Windy City Times,2020,35
"11. Levander Smith Jr.: Out judicial candidate on status, campaign",TRUE,"Levander Smith Jr.: Out judicial candidate on status, campaign",10,NA,Newspapers,Anonymous,News,9,"Chicago, Ill.","Jan 22, 2020",Windy City Times,2020,35
